province,last_updated,date,change_cases,change_fatalities,change_tests,change_hospitalizations,change_criticals,change_recoveries,change_vaccinations,change_vaccinated,change_vaccines_distributed,total_cases,total_fatalities,total_tests,total_hospitalizations,total_criticals,total_recoveries,total_vaccinations,total_vaccinated,total_vaccines_distributed
,,2020-08-13,78,0,3616,1,-1,31,0,,,4274,196,296743,9,4,3500,0,,
,,2020-08-14,84,0,3488,3,0,33,0,,,4358,196,300231,12,4,3533,0,,
,,2020-08-15,100,0,4055,0,0,0,0,,,4458,196,304286,12,4,3533,0,,
,,2020-08-16,88,0,3732,0,0,0,0,,,4546,196,308018,12,4,3533,0,,
,,2020-08-17,48,2,2943,-8,-1,120,0,,,4594,198,310961,4,3,3653,0,,
,,2020-08-18,83,0,2325,2,0,51,0,,,4677,198,313286,6,3,3704,0,,
,,2020-08-19,68,0,3497,4,1,45,0,,,4745,198,316783,10,4,3749,0,,
,,2020-08-20,80,2,4208,1,0,96,0,,,4825,200,320991,11,4,3845,0,,
,,2020-08-21,90,2,4370,2,1,44,0,,,4915,202,325361,13,5,3889,0,,
,,2020-08-22,109,0,3924,0,0,0,0,,,5024,202,329285,13,5,3889,0,,
,,2020-08-23,81,0,4682,0,0,0,0,,,5105,202,333967,13,5,3889,0,,
,,2020-08-24,79,1,2759,5,0,179,0,,,5184,203,336726,18,5,4068,0,,
,,2020-08-25,58,0,2030,4,2,46,0,,,5242,203,338756,22,7,4114,0,,
,,2020-08-26,62,0,4411,-1,0,85,0,,,5304,203,343167,21,7,4199,0,,
,,2020-08-27,68,1,4591,1,0,54,0,,,5372,204,347758,22,7,4253,0,,
,,2020-08-28,124,0,5416,1,0,57,0,,,5496,204,353174,23,7,4310,0,,
,,2020-08-29,86,0,5356,0,0,0,0,,,5582,204,358530,23,7,4310,0,,
,,2020-08-30,107,0,4780,0,0,0,0,,,5689,204,363310,23,7,4310,0,,
,,2020-08-31,101,4,3325,5,3,96,0,,,5790,208,366635,28,10,4406,0,,
,,2020-09-01,58,1,2527,3,0,99,0,,,5848,209,369162,31,10,4505,0,,
,,2020-09-02,104,0,5248,2,4,100,0,,,5952,209,374410,33,14,4605,0,,
,,2020-09-03,89,1,5736,1,-3,39,0,,,6041,210,380146,34,11,4644,0,,
,,2020-09-04,121,1,5975,-3,1,62,0,,,6162,211,386121,31,12,4706,0,,
,,2020-09-05,123,0,0,0,0,0,0,,,6285,211,386121,31,12,4706,0,,
,,2020-09-06,116,0,0,0,0,0,0,,,6401,211,386121,31,12,4706,0,,
,,2020-09-07,107,0,0,0,0,0,0,,,6508,211,386121,31,12,4706,0,,
,,2020-09-08,83,2,0,1,0,272,0,,,6591,213,386121,32,12,4978,0,,
,,2020-09-09,100,0,0,5,3,108,0,,,6691,213,386121,37,15,5086,0,,
,,2020-09-10,139,0,0,5,-1,104,0,,,6830,213,386121,42,14,5190,0,,
,,2020-09-11,132,0,0,7,-4,83,0,,,6962,213,386121,49,10,5273,0,,
,,2020-09-12,137,0,0,0,0,0,0,,,7099,213,386121,49,10,5273,0,,
,,2020-09-13,119,0,0,0,0,0,0,,,7218,213,386121,49,10,5273,0,,
,,2020-09-14,61,6,0,9,6,173,0,,,7279,219,386121,58,16,5446,0,,
,,2020-09-15,97,0,0,5,4,102,0,,,7376,219,386121,63,20,5548,0,,
,,2020-09-16,122,0,0,-3,3,98,0,,,7498,219,386121,60,23,5646,0,,
,,2020-09-17,165,1,0,-3,-1,73,0,,,7663,220,386121,57,22,5719,0,,
,,2020-09-18,179,3,0,2,-2,78,0,,,7842,223,386121,59,20,5797,0,,
,,2020-09-19,121,0,0,0,0,0,0,,,7963,223,386121,59,20,5797,0,,
,,2020-09-20,117,0,0,0,0,0,0,,,8080,223,386121,59,20,5797,0,,
,,2020-09-21,128,4,0,1,1,175,0,,,8208,227,386121,60,21,5972,0,,
,,2020-09-22,96,0,0,1,1,617,0,,,8304,227,386121,61,22,6589,0,,
,,2020-09-23,91,0,0,1,-4,180,0,,,8395,227,386121,62,18,6769,0,,
,,2020-09-24,148,2,0,-1,2,0,0,,,8543,229,386121,61,20,6769,0,,
,,2020-09-25,98,1,120399,1,-1,267,0,,,8641,230,506520,62,19,7036,0,,
,,2020-09-26,68,0,0,0,0,0,0,,,8709,230,506520,62,19,7036,0,,
,,2020-09-27,125,0,0,0,0,0,0,,,8834,230,506520,62,19,7036,0,,
,,2020-09-28,74,3,0,7,3,310,0,,,8908,233,506520,69,22,7346,0,,
,,2020-09-29,105,1,0,0,-2,139,0,,,9013,234,506520,69,20,7485,0,,
,,2020-09-30,125,0,0,3,1,106,0,,,9138,234,506520,72,21,7591,0,,
,,2020-10-01,82,1,0,-3,-2,104,0,,,9220,235,506520,69,19,7695,0,,
,,2020-10-02,161,3,0,-6,-3,118,0,,,9381,238,506520,63,16,7813,0,,
,,2020-10-03,130,0,0,0,0,0,0,,,9511,238,506520,63,16,7813,0,,
,,2020-10-04,108,0,0,0,0,0,0,,,9619,238,506520,63,16,7813,0,,
,,2020-10-05,120,4,0,3,0,0,0,,,9739,242,506520,66,16,7813,0,,
,,2020-10-06,102,2,0,5,0,371,0,,,9841,244,506520,71,16,8184,0,,
,,2020-10-07,115,0,0,0,-1,112,0,,,9956,244,506520,71,15,8296,0,,
,,2020-10-08,110,1,0,5,2,102,0,,,10066,245,506520,76,17,8398,0,,
,,2020-10-09,119,0,0,-8,2,104,0,,,10185,245,506520,68,19,8502,0,,
,,2020-10-10,170,0,0,0,0,0,0,,,10355,245,506520,68,19,8502,0,,
,,2020-10-11,159,0,0,0,0,0,0,,,10514,245,506520,68,19,8502,0,,
,,2020-10-12,119,0,0,0,0,0,0,,,10633,245,506520,68,19,8502,0,,
,,2020-10-13,101,5,0,9,5,472,0,,,10734,250,506520,77,24,8974,0,,
,,2020-10-14,158,0,0,7,0,138,0,,,10892,250,506520,84,24,9112,0,,
,,2020-10-15,142,0,0,-10,0,145,0,,,11034,250,506520,74,24,9257,0,,
,,2020-10-16,155,1,0,-2,2,130,0,,,11189,251,506520,72,26,9387,0,,
,,2020-10-17,172,0,0,0,0,0,0,,,11361,251,506520,72,26,9387,0,,
,,2020-10-18,153,0,0,0,0,0,0,,,11514,251,506520,72,26,9387,0,,
,,2020-10-19,173,2,0,-5,-7,366,0,,,11687,253,506520,67,19,9753,0,,
,,2020-10-20,167,1,0,2,-1,118,0,,,11854,254,506520,69,18,9871,0,,
,,2020-10-21,203,2,0,1,3,122,0,,,12057,256,506520,70,21,9993,0,,
,,2020-10-22,274,0,0,1,3,121,0,,,12331,256,506520,71,24,10114,0,,
,,2020-10-23,223,0,0,4,0,133,0,,,12554,256,506520,75,24,10247,0,,
,,2020-10-24,317,0,0,0,0,0,0,,,12871,256,506520,75,24,10247,0,,
,,2020-10-25,293,0,0,0,0,0,0,,,13164,256,506520,75,24,10247,0,,
,,2020-10-26,207,3,0,2,2,487,0,,,13371,259,506520,77,26,10734,0,,
,,2020-10-27,217,0,0,7,1,220,0,,,13588,259,506520,84,27,10954,0,,
,,2020-10-28,287,2,0,3,-2,290,0,,,13875,261,506520,87,25,11244,0,,
,,2020-10-29,234,1,310556,-1,-1,204,0,,,14109,262,817076,86,24,11448,0,,
